"Country","Desem","Gini","HDI","POB"
"Albania",17.0799999237061,32.9,0.791,14.3
"Armenia",18.2609996795654,32.4,0.76,25.7
"Belarus",5.91400003433228,25.6,0.817,5.9
"Benin",2.58200001716614,47.8,0.52,40.1
"Bolivia",3.06599998474121,46.7,0.703,36.4
"Botswana",17.7469997406006,53.3,0.728,19.3
"Brazil",8.42700004577637,51.9,0.761,26.5
"Bulgaria",9.14299964904785,38.6,0.816,23.4
"Chile",6.50799989700317,44.4,0.847,8.6
"China",4.62900018692017,38.6,0.758,3.1
"Colombia",8.29899978637695,51.1,0.761,27
"Costa Rica",8.99899959564209,48.4,0.794,20
"Croatia",16.1749992370605,31.1,0.837,19.5
"Czech Republic",5.0460000038147,25.9,0.891,9.7
"Dominican Republic",7.60500001907349,45.2,0.745,30.5
"Ecuador",3.6159999370575,46,0.758,23.2
"El Salvador",3.99799990653992,40.6,0.667,29.2
"Estonia",6.18699979782104,32.7,0.882,21.8
"Ethiopia",2.1949999332428,35,0.47,23.5
"Georgia",16.5060005187988,36.5,0.786,21.9
"Honduras",6.14699983596802,49.6,0.623,61.9
"Hungary",6.81300020217896,30.4,0.845,14.9
"Indonesia",4.51399993896484,41,0.707,10.6
"Kazakhstan",4.92999982833862,26.8,0.817,2.5
"Kenya",2.79399991035461,40.8,0.579,36.1
"Latvia",9.8730001449585,34.2,0.854,22.5
"Lithuania",9.11999988555908,37.4,0.869,22.2
"Malaysia",3.09999990463257,41,0.804,0.4
"Moldova",3.69400000572205,27,0.711,9.6
"Montenegro",17.5440006256104,39,0.816,24
"Myanmar",0.765999972820282,38.1,0.584,32.1
"Namibia",20.8819999694824,59.1,0.645,17.4
"North Macedonia",26.068000793457,35.6,0.759,22.2
"Pakistan",3.56599998474121,33.5,0.56,3.9
"Panama",3.00200009346008,50.8,0.795,22.1
"Paraguay",4.55600023269653,47.6,0.724,26.4
"Peru",3,43.4,0.759,21.7
"Philippines",3.06800007820129,44.4,0.712,21.6
"Poland",7.50099992752075,31.8,0.872,15
"Romania",6.81199979782104,35.9,0.816,23.6
"Serbia",17.6599998474121,40.5,0.799,25.7
"Slovenia",8.96199989318848,25.4,0.902,14.3
"Tajikistan",11.5010004043579,34,0.656,31.3
"Thailand",0.597000002861023,36,0.765,8.6
"Togo",2.2039999961853,43.1,0.513,55.1
"Tonga",1.12699997425079,37.6,0.717,22.5
"Tunisia",15.2180004119873,32.8,0.739,15.2
"Turkey",10.2360000610352,42.9,0.806,13.5
"Ukraine",9.14000034332275,25.5,0.75,2.4
"Uruguay",7.48799991607666,40.1,0.808,7.9
"Zambia",10.1049995422363,57.1,0.591,54.4
